Id2,Geography,Total_Pop,Margin of Error; Total:,Males 16-19,Margin of Error; Male:,Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Male: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Females 16-19,Margin of Error; Female:,Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Female: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Males_Unemployed,Females_Unemployed,Total Not in School Unemployed Not in Labor Force,% 16-19 Pop Not in School Unemployed Not in Labor Force,% Males,% Females
63005,ZCTA5 63005,"1,236",202,635,141,628,140,161,49,14,22,453,116,7,10,3,7,3,7,0,17,0,17,4,7,4,7,0,17,0,17,601,141,601,141,144,70,85,114,372,105,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,0,0,0,,
63011,ZCTA5 63011,"1,971",293,"1,098",193,988,186,498,151,29,33,461,121,110,94,72,84,12,19,15,25,45,67,38,43,0,23,0,23,38,43,873,202,836,200,393,137,12,20,431,129,37,43,37,43,37,43,0,23,0,23,0,23,0,23,0,23,0,23,98,0,98,5,100,0
63017,ZCTA5 63017,"1,893",326,986,218,934,211,360,128,50,49,524,155,52,47,52,47,17,26,0,23,35,39,0,23,0,23,0,23,0,23,907,253,892,252,243,104,51,51,598,212,15,25,15,25,15,25,0,23,0,23,0,23,0,23,0,23,0,23,35,0,35,1.8,100,0
63021,ZCTA5 63021,"3,334",403,"1,560",258,"1,388",240,618,153,171,85,599,147,172,85,130,76,46,45,39,35,45,41,42,35,13,22,0,26,29,28,"1,774",334,"1,577",295,809,215,84,50,684,191,197,120,197,120,116,89,0,26,81,67,0,26,0,26,0,26,0,26,113,81,194,5.8,58.2,41.8
63025,ZCTA5 63025,761,168,322,107,312,107,115,60,23,27,174,65,10,16,10,16,10,16,0,17,0,17,0,17,0,17,0,17,0,17,439,138,422,136,111,59,0,17,311,136,17,28,17,28,0,17,0,17,17,28,0,17,0,17,0,17,0,17,0,17,17,2.2,0,100
63026,ZCTA5 63026,"2,300",318,"1,311",217,"1,168",217,460,149,101,57,607,168,143,82,143,82,101,68,42,50,0,23,0,23,0,23,0,23,0,23,989,217,975,215,346,129,55,39,574,171,14,18,5,10,5,10,0,23,0,23,9,15,9,15,0,23,0,23,42,0,42,1.8,100,0
63031,ZCTA5 63031,"2,900",376,"1,388",232,"1,191",225,356,122,209,114,626,173,197,114,116,83,26,29,52,61,38,46,81,74,0,23,50,60,31,45,"1,512",248,"1,373",268,504,180,121,65,748,167,139,100,91,86,77,85,0,23,14,25,48,60,11,21,37,57,0,23,171,51,222,7.7,77,23
63033,ZCTA5 63033,"2,755",372,"1,548",299,"1,373",288,271,116,281,147,821,248,175,121,116,91,47,55,0,23,69,72,59,80,0,23,0,23,59,80,"1,207",240,"1,141",246,397,210,162,134,582,182,66,55,31,30,31,30,0,23,0,23,35,52,0,23,0,23,35,52,128,35,163,5.9,78.5,21.5
63034,ZCTA5 63034,"1,191",261,593,188,524,182,131,99,14,20,379,146,69,56,41,48,0,17,17,26,24,40,28,35,24,34,4,7,0,17,598,193,557,189,175,105,64,54,318,151,41,40,41,40,0,17,0,17,41,40,0,17,0,17,0,17,0,17,45,41,86,7.2,52.3,47.7
63038,ZCTA5 63038,414,102,264,79,264,79,102,55,0,15,162,65,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,150,58,150,58,77,38,0,15,73,44,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,0,0,0,,
63040,ZCTA5 63040,546,130,284,86,262,86,45,37,33,32,184,82,22,26,14,22,14,22,0,15,0,15,8,14,8,14,0,15,0,15,262,104,262,104,118,58,0,15,144,79,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,0,0,0,,
63042,ZCTA5 63042,869,239,581,186,404,156,34,34,70,56,300,137,177,111,177,111,62,59,67,87,48,63,0,17,0,17,0,17,0,17,288,147,283,147,93,91,14,25,176,111,5,10,5,10,0,17,5,10,0,17,0,17,0,17,0,17,0,17,115,5,120,13.8,95.8,4.2
